storeID,address,city,state,isOpen,reviewScore
1,83 Hallows Center,San Diego,California,yes,4
2,92096 Bunker Hill Avenue,Spring,Texas,yes,4
3,8229 Jenifer Terrace,Portland,Oregon,yes,5
4,4 Golf Parkway,Portland,Oregon,no,5
5,8383 Westend Terrace,Omaha,Nebraska,no,5
6,37131 Miller Terrace,Honolulu,Hawaii,no,5
7,73424 Straubel Parkway,Charlotte,North Carolina,no,5
8,65 Service Crossing,Indianapolis,Indiana,yes,4
9,0 Independence Circle,Sioux Falls,South Dakota,yes,5
10,04547 School Alley,New York City,New York,yes,4
11,6 Fordem Court,Alhambra,California,no,4
12,5 Monterey Junction,Knoxville,Tennessee,no,5
13,78634 Ludington Terrace,Decatur,Georgia,no,5
14,4102 Donald Terrace,Spokane,Washington,no,4
15,7 Debra Trail,Memphis,Tennessee,yes,4
16,7765 Roxbury Lane,Des Moines,Iowa,no,4
17,66059 Vera Parkway,Louisville,Kentucky,yes,4
18,9 Golf View Hill,Aiken,South Carolina,no,4
19,2 Heath Alley,Topeka,Kansas,yes,5
20,104 Vernon Plaza,Tucson,Arizona,yes,5
21,7 Tomscot Circle,Fort Wayne,Indiana,yes,5
22,617 Katie Hill,Los Angeles,California,no,5
23,4933 Bay Lane,Vancouver,Washington,yes,5
24,3 Crowley Plaza,Washington,District of Columbia,no,5
25,9 Longview Pass,El Paso,Texas,no,4
26,696 Mayfield Court,Waco,Texas,no,5
27,8 Burrows Avenue,Boca Raton,Florida,no,5
28,289 Buell Point,Akron,Ohio,yes,4
29,58412 Vernon Pass,Baltimore,Maryland,no,5
30,8 La Follette Lane,Mobile,Alabama,no,5
31,4 Sugar Park,Lancaster,Pennsylvania,no,4
32,52772 Schurz Pass,Stamford,Connecticut,yes,4
33,9604 Tennyson Street,Omaha,Nebraska,no,4
34,9 Del Sol Drive,Philadelphia,Pennsylvania,yes,4
35,57244 Oakridge Pass,Simi Valley,California,yes,5
36,3611 Green Ridge Lane,Atlanta,Georgia,yes,4
